Nome,advisor,link_adv
A. P. Balachandran,Alladi Ramakrishnan,https://en.wikipedia.org/wiki/Alladi_Ramakrishnan
Heinrich Limpricht,Friedrich Wöhler,https://en.wikipedia.org/wiki/Friedrich_W%C3%B6hler
Roger J-B Wets,George Dantzig,https://en.wikipedia.org/wiki/George_Dantzig
Roger J-B Wets,David Blackwell,https://en.wikipedia.org/wiki/David_Blackwell
Roni Rosenfeld,Raj Reddy,https://en.wikipedia.org/wiki/Raj_Reddy
Roni Rosenfeld,Xuedong Huang,https://en.wikipedia.org/wiki/Xuedong_Huang
Don Craig Wiley,"William N. Lipscomb, Jr.",https://en.wikipedia.org/wiki/William_Lipscomb
Walter Morley Fletcher,John Newport Langley,https://en.wikipedia.org/wiki/John_Newport_Langley
Felix Bernstein (mathematician),David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Marvin Leonard Goldberger,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Harold Agnew,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Paul Steinhardt,Sidney R. Coleman,https://en.wikipedia.org/wiki/Sidney_R._Coleman
Paul Steinhardt,Richard P. Feynman,https://en.wikipedia.org/wiki/Richard_P._Feynman
Paul Steinhardt,Barry Barish,https://en.wikipedia.org/wiki/Barry_Barish
Paul Steinhardt,Praveen Chaudhari,https://en.wikipedia.org/wiki/Praveen_Chaudhari
Kenjiro Shoda,Teiji Takagi,https://en.wikipedia.org/wiki/Teiji_Takagi
Oscar Zariski,Guido Castelnuovo,https://en.wikipedia.org/wiki/Guido_Castelnuovo
Donald Allan Darling,Morgan Ward,https://en.wikipedia.org/wiki/Morgan_Ward
Christian August Hausen,J. C. Wichmannshausen,https://en.wikipedia.org/wiki/Johann_Christoph_Wichmannshausen
Christian August Hausen,Johann Andreas Planer,https://en.wikipedia.org/w/index.php?title=Johann_Andreas_Planer&action=edit&redlink=1
Mihailo Petrović Alas,Charles Hermite,https://en.wikipedia.org/wiki/Charles_Hermite
Mihailo Petrović Alas,Charles Émile Picard,https://en.wikipedia.org/wiki/Charles_%C3%89mile_Picard
Michio Kaku,Stanley Mandelstam,https://en.wikipedia.org/wiki/Stanley_Mandelstam
Michio Kaku,Robert Pound,https://en.wikipedia.org/wiki/Robert_Pound
Emilie Martin,Charlotte Scott,https://en.wikipedia.org/wiki/Charlotte_Scott
Emilie Martin,James Harkness,https://en.wikipedia.org/wiki/James_Harkness_(mathematician)
Robin Reed (biologist),Sidney Altman,https://en.wikipedia.org/wiki/Sidney_Altman
Chris Rogers (mathematician),David Williams,https://en.wikipedia.org/wiki/David_Williams_(mathematician)
Jean Gaston Darboux,Michel Chasles,https://en.wikipedia.org/wiki/Michel_Chasles
Rudolf Lipschitz,Gustav Dirichlet,https://en.wikipedia.org/wiki/Peter_Gustav_Lejeune_Dirichlet
Rudolf Lipschitz,Martin Ohm,https://en.wikipedia.org/wiki/Martin_Ohm
Oswald Külpe,Wilhelm Wundt,https://en.wikipedia.org/wiki/Wilhelm_Wundt
Rafael Irizarry (scientist),David R. Brillinger,https://en.wikipedia.org/wiki/David_R._Brillinger
Léon Brillouin,Paul Langevin,https://en.wikipedia.org/wiki/Paul_Langevin
Jacob Bronowski,H. F. Baker,https://en.wikipedia.org/wiki/H._F._Baker
C. E. Wynn-Williams,Ernest Rutherford,https://en.wikipedia.org/wiki/Ernest_Rutherford
Robert Andrews Millikan,Ogden Nicholas Rood,https://en.wikipedia.org/wiki/Ogden_Rood
Robert Andrews Millikan,Mihajlo Pupin,https://en.wikipedia.org/wiki/Mihajlo_Pupin
Robert Andrews Millikan,Albert A. Michelson,https://en.wikipedia.org/wiki/Albert_A._Michelson
Robert Andrews Millikan,Walther Nernst,https://en.wikipedia.org/wiki/Walther_Nernst
Stanisław Mazur,Stefan Banach,https://en.wikipedia.org/wiki/Stefan_Banach
Bernard Teissier,Heisuke Hironaka,https://en.wikipedia.org/wiki/Heisuke_Hironaka
John Tukey,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Peter Sarnak,Paul Cohen,https://en.wikipedia.org/wiki/Paul_Cohen_(mathematician)
Fritz London,Max von Laue,https://en.wikipedia.org/wiki/Max_von_Laue
Edward Victor Appleton,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Edward Victor Appleton,Ernest Rutherford,https://en.wikipedia.org/wiki/Ernest_Rutherford
Henry Burchard Fine,Felix Klein,https://en.wikipedia.org/wiki/Felix_Klein
Henry Burchard Fine,Carl Neumann,https://en.wikipedia.org/wiki/Carl_Neumann
Edith Stein,Edmund Husserl,https://en.wikipedia.org/wiki/Edmund_Husserl
Edward Andrade,Philipp Lenard,https://en.wikipedia.org/wiki/Philipp_Lenard
Giovanni Sansone,Luigi Bianchi,https://en.wikipedia.org/wiki/Luigi_Bianchi
Roman Ingarden,Edmund Husserl,https://en.wikipedia.org/wiki/Edmund_Husserl
Xiao-Gang Wen,Edward Witten,https://en.wikipedia.org/wiki/Edward_Witten
Ben Roy Mottelson,Julian Schwinger,https://en.wikipedia.org/wiki/Julian_Schwinger
Rolf Nevanlinna,Ernst Leonard Lindelöf,https://en.wikipedia.org/wiki/Ernst_Leonard_Lindel%C3%B6f
John Burton Cleland,Ralph Tate,https://en.wikipedia.org/wiki/Ralph_Tate
John Burton Cleland,Edward Rennie,https://en.wikipedia.org/wiki/Edward_Rennie
John Burton Cleland,William Henry Bragg,https://en.wikipedia.org/wiki/William_Henry_Bragg
John Burton Cleland,Edward Stirling,https://en.wikipedia.org/wiki/Edward_Charles_Stirling
John Burton Cleland,Archibald Watson,https://en.wikipedia.org/wiki/Archibald_Watson
John Burton Cleland,Robert Muir,https://en.wikipedia.org/wiki/Robert_Muir_(pathologist)
Julius Tafel,Hermann Emil Fischer,https://en.wikipedia.org/wiki/Hermann_Emil_Fischer
Marshall Rosenbluth,Edward Teller,https://en.wikipedia.org/wiki/Edward_Teller
Robert Seamans,Charles Stark Draper,https://en.wikipedia.org/wiki/Charles_Stark_Draper
Stefan Meyer (physicist),Franz Serafin Exner,https://en.wikipedia.org/wiki/Franz_Serafin_Exner
Edward Feigenbaum,Herbert A. Simon,https://en.wikipedia.org/wiki/Herbert_A._Simon
Donald Voet,William Lipscomb,https://en.wikipedia.org/wiki/William_Lipscomb
John Walter Clark,Eugene Feenberg,https://en.wikipedia.org/wiki/Eugene_Feenberg
John Walter Clark,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner
Thomas M. Liggett,Samuel Karlin,https://en.wikipedia.org/wiki/Samuel_Karlin
Robert Retherford,Willis Lamb,https://en.wikipedia.org/wiki/Willis_Lamb
Asghar Qadir,Roger Penrose,https://en.wikipedia.org/wiki/Roger_Penrose
Asghar Qadir,Oliver Penrose,https://en.wikipedia.org/wiki/Oliver_Penrose
Walter Taylor (mathematician),Robert Smith,https://en.wikipedia.org/wiki/Robert_Smith_(mathematician)
Thomas Joannes Stieltjes,Charles Hermite,https://en.wikipedia.org/wiki/Charles_Hermite
Thomas Joannes Stieltjes,Jean Gaston Darboux,https://en.wikipedia.org/wiki/Jean_Gaston_Darboux
"Walter Marshall, Baron Marshall of Goring",Rudolf Peierls,https://en.wikipedia.org/wiki/Rudolf_Peierls
Mark B. Wise,Fred Gilman,https://en.wikipedia.org/wiki/Fred_Gilman
Hugh David Politzer,Sidney Coleman,https://en.wikipedia.org/wiki/Sidney_Coleman
Mark Oliphant,Ernest Rutherford,https://en.wikipedia.org/wiki/Ernest_Rutherford
James S. Langer,Rudolf Peierls,https://en.wikipedia.org/wiki/Rudolf_Peierls
Alexander Dalgarno,Harrie Massey,https://en.wikipedia.org/wiki/Harrie_Massey
Alexander Dalgarno,Richard Buckingham,https://en.wikipedia.org/wiki/Richard_Buckingham
Jacob Tamarkin,Andrei Markov,https://en.wikipedia.org/wiki/Andrey_Markov
Wang Ganchang,Lise Meitner,https://en.wikipedia.org/wiki/Lise_Meitner
John Newport Langley,Michael Foster,https://en.wikipedia.org/wiki/Michael_Foster_(physiologist)
Felix Villars,Gregor Wentzel,https://en.wikipedia.org/wiki/Gregor_Wentzel
Gustav Heinrich Johann Apollon Tammann,Carl Schmidt,https://en.wikipedia.org/wiki/Carl_Schmidt_(chemist)
Gerhard Gentzen,Paul Bernays,https://en.wikipedia.org/wiki/Paul_Bernays
John Moffat (physicist),Fred Hoyle,https://en.wikipedia.org/wiki/Fred_Hoyle
John Moffat (physicist),Abdus Salam,https://en.wikipedia.org/wiki/Abdus_Salam
Arthur F. Burns,Wesley Clair Mitchell,https://en.wikipedia.org/wiki/Wesley_Clair_Mitchell
Anne Bosworth Focke,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Robin Sibson,David George Kendall,https://en.wikipedia.org/wiki/David_George_Kendall
Joseph Weinberg,J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
Noah Rosenberg,Marcus Feldman,https://en.wikipedia.org/wiki/Marcus_Feldman
Bill Pickering (rocket scientist),Robert A. Millikan,https://en.wikipedia.org/wiki/Robert_A._Millikan
László Lovász,Tibor Gallai,https://en.wikipedia.org/wiki/Tibor_Gallai
Israel Gelfand,Andrey Kolmogorov,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Martin Lewis Perl,I. I. Rabi,https://en.wikipedia.org/wiki/I._I._Rabi
Richard Rado,G. H. Hardy,https://en.wikipedia.org/wiki/G._H._Hardy
Richard Rado,Issai Schur,https://en.wikipedia.org/wiki/Issai_Schur
Mikhail Lukin,Marlan Scully,https://en.wikipedia.org/wiki/Marlan_Scully
Kari Karhunen,Rolf Nevanlinna,https://en.wikipedia.org/wiki/Rolf_Nevanlinna
Mary Gertrude Haseman, Charlotte Agnas Scott,https://en.wikipedia.org/wiki/Charlotte_Scott
Mary Gertrude Haseman,James Ryals Conner,https://en.wikipedia.org/w/index.php?title=James_Ryals_Conner&action=edit&redlink=1
Thomas K. Donaldson,Felix Browder,https://en.wikipedia.org/wiki/Felix_Browder
Ian R. Porteous,W. V. D. Hodge,https://en.wikipedia.org/wiki/W._V._D._Hodge
Ian R. Porteous,Michael Atiyah,https://en.wikipedia.org/wiki/Michael_Atiyah
Joseph Liouville,Siméon Poisson,https://en.wikipedia.org/wiki/Sim%C3%A9on_Denis_Poisson
Joseph Liouville,Louis Jacques Thénard,https://en.wikipedia.org/wiki/Louis_Jacques_Th%C3%A9nard
Corrado Böhm,Eduard Stiefel,https://en.wikipedia.org/wiki/Eduard_Stiefel
Corrado Böhm,Paul Bernays,https://en.wikipedia.org/wiki/Paul_Bernays
Veeravalli S. Varadarajan,C. R. Rao,https://en.wikipedia.org/wiki/C._R._Rao
Leon Lichtenstein,Hermann Schwarz,https://en.wikipedia.org/wiki/Hermann_Schwarz
Leon Lichtenstein,Friedrich Schottky,https://en.wikipedia.org/wiki/Friedrich_Schottky
Julio Rey Pastor,Eduardo Torroja Caballé,https://en.wikipedia.org/wiki/Eduardo_Torroja_Caball%C3%A9
Julio Rey Pastor,Felix Klein,https://en.wikipedia.org/wiki/Felix_Klein
Anatoli Vitushkin,Andrey Kolmogorov,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Julio Gea-Banacloche,Marlan O. Scully,https://en.wikipedia.org/wiki/Marlan_O._Scully
Peter Minkowski,Markus Fierz,https://en.wikipedia.org/wiki/Markus_Fierz
Douglas Hartree,Ralph H. Fowler,https://en.wikipedia.org/wiki/Ralph_H._Fowler
Marston Morse,George David Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
Jovan Karamata,Mihailo Petrović,https://en.wikipedia.org/wiki/Mihailo_Petrovi%C4%87
Benjamin C. Pierce,Robert Harper,https://en.wikipedia.org/wiki/Robert_Harper_(computer_scientist)
Benjamin C. Pierce,John C. Reynolds,https://en.wikipedia.org/wiki/John_C._Reynolds
Sidney Coleman,Murray Gell-Mann,https://en.wikipedia.org/wiki/Murray_Gell-Mann
Stephen Wolfram,Richard D. Field,https://en.wikipedia.org/wiki/Richard_D._Field
Paul Seidel,Simon Donaldson,https://en.wikipedia.org/wiki/Simon_Donaldson
Robert Brandenberger,William Henry Press,https://en.wikipedia.org/wiki/William_Henry_Press
Robert Brandenberger,Arthur Jaffe,https://en.wikipedia.org/wiki/Arthur_Jaffe
Fritz Machlup,Ludwig von Mises,https://en.wikipedia.org/wiki/Ludwig_von_Mises
Luis von Ahn,Manuel Blum,https://en.wikipedia.org/wiki/Manuel_Blum
Andrew Booker (mathematician),Peter Sarnak,https://en.wikipedia.org/wiki/Peter_Sarnak
Tom Kibble,John Polkinghorne,https://en.wikipedia.org/wiki/John_Polkinghorne
Wilhelm Röntgen,August Kundt,https://en.wikipedia.org/wiki/August_Kundt
"John William Strutt, 3rd Baron Rayleigh",Edward John Routh,https://en.wikipedia.org/wiki/Edward_John_Routh
"John William Strutt, 3rd Baron Rayleigh",Sir George Stokes,"https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
"John William Strutt, 3rd Baron Rayleigh",Lord Kelvin,"https://en.wikipedia.org/wiki/William_Thomson,_1st_Baron_Kelvin"
Richard H. Price,Kip Thorne,https://en.wikipedia.org/wiki/Kip_Thorne
Gustav Herglotz,Hugo von Seeliger,https://en.wikipedia.org/wiki/Hugo_von_Seeliger
Gustav Herglotz,Ludwig Boltzmann,https://en.wikipedia.org/wiki/Ludwig_Boltzmann
David A. Freedman,William Feller,https://en.wikipedia.org/wiki/William_Feller
Andrew Casson,C. T. C. Wall,https://en.wikipedia.org/wiki/C._T._C._Wall
Mark Adler,Mark Wise,https://en.wikipedia.org/wiki/Mark_B._Wise
Alfred Schild,Leopold Infeld,https://en.wikipedia.org/wiki/Leopold_Infeld
Andrey Kolmogorov,Nikolai Luzin,https://en.wikipedia.org/wiki/Nikolai_Luzin
Carl M. Bender,Tai Tsun Wu,https://en.wikipedia.org/wiki/Tai_Tsun_Wu
Carl M. Bender,Sidney Coleman,https://en.wikipedia.org/wiki/Sidney_Coleman
Harry Pollard (mathematician),David Widder,https://en.wikipedia.org/wiki/David_Widder
Katie Mack (astrophysicist),Paul Steinhardt,https://en.wikipedia.org/wiki/Paul_Steinhardt
Francis Bitter,Albert Potter Wills,https://en.wikipedia.org/wiki/Albert_Potter_Wills
Richard Buckingham,Ralph H. Fowler,https://en.wikipedia.org/wiki/Ralph_H._Fowler
Paul A. Catlin,G. Neil Robertson,https://en.wikipedia.org/wiki/Neil_Robertson_(mathematician)
John Archibald Wheeler,Karl Herzfeld,https://en.wikipedia.org/wiki/Karl_Herzfeld
Ernst Leonard Lindelöf,Hjalmar Mellin,https://en.wikipedia.org/wiki/Hjalmar_Mellin
Jean Gaston Darboux,Michel Chasles,https://en.wikipedia.org/wiki/Michel_Chasles
Gustav A. Hedlund,Marston Morse,https://en.wikipedia.org/wiki/Marston_Morse
John R. Klauder,John Archibald Wheeler,https://en.wikipedia.org/wiki/John_Archibald_Wheeler
Sandip Trivedi,John Preskill,https://en.wikipedia.org/wiki/John_Preskill
George F. D. Duff,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Ernst Hölder,Leon Lichtenstein,https://en.wikipedia.org/wiki/Leon_Lichtenstein
Victor Ginzburg,Alexandre Kirillov,https://en.wikipedia.org/wiki/Alexandre_Kirillov
Victor Ginzburg,Israel Gelfand,https://en.wikipedia.org/wiki/Israel_Gelfand
Irène Joliot-Curie,Paul Langevin,https://en.wikipedia.org/wiki/Paul_Langevin
Irving Stringham,James Joseph Sylvester,https://en.wikipedia.org/wiki/James_Joseph_Sylvester
Wilhelm Kühne,Rudolph Wagner,https://en.wikipedia.org/wiki/Rudolph_Wagner
Wilhelm Kühne,Friedrich Wöhler,https://en.wikipedia.org/wiki/Friedrich_W%C3%B6hler
Virginia Ragsdale,Charlotte Scott,https://en.wikipedia.org/wiki/Charlotte_Scott
Michael Horne (physicist),Abner Shimony,https://en.wikipedia.org/wiki/Abner_Shimony
Aurel Wintner,Leon Lichtenstein,https://en.wikipedia.org/wiki/Leon_Lichtenstein
Michael Nielsen,Carlton M. Caves,https://en.wikipedia.org/wiki/Carlton_M._Caves
Paul Ginsparg,Kenneth G. Wilson,https://en.wikipedia.org/wiki/Kenneth_G._Wilson
Bennie Ward,Sam Treiman,https://en.wikipedia.org/wiki/Sam_Treiman
François Loeser,Bernard Teissier,https://en.wikipedia.org/wiki/Bernard_Teissier
E. T. Whittaker,Andrew Russell Forsyth,https://en.wikipedia.org/wiki/Andrew_Russell_Forsyth
E. T. Whittaker,George Howard Darwin,https://en.wikipedia.org/wiki/George_Howard_Darwin
William A. Martin,Marvin Minsky,https://en.wikipedia.org/wiki/Marvin_Minsky
D. H. Lehmer,Jacob Tamarkin,https://en.wikipedia.org/wiki/Jacob_Tamarkin
Saunders Mac Lane,Hermann Weyl,https://en.wikipedia.org/wiki/Hermann_Weyl
Saunders Mac Lane,Paul Bernays,https://en.wikipedia.org/wiki/Paul_Bernays
Michael Rossmann,J. Monteath Robertson,https://en.wikipedia.org/wiki/John_Monteath_Robertson
Michael Rossmann,"William N. Lipscomb, Jr.",https://en.wikipedia.org/wiki/William_Lipscomb
Michael Rossmann,Max Perutz,https://en.wikipedia.org/wiki/Max_Perutz
Ernst Chladni,Georg Christoph Lichtenberg,https://en.wikipedia.org/wiki/Georg_Christoph_Lichtenberg
Philipp Franz von Walther,Georg Joseph Beer,https://en.wikipedia.org/wiki/Georg_Joseph_Beer
Philipp Franz von Walther,Johann Peter Frank,https://en.wikipedia.org/wiki/Johann_Peter_Frank
Andrew Putman,Benson Farb,https://en.wikipedia.org/wiki/Benson_Farb
Alexander William Bickerton,Edward Frankland,https://en.wikipedia.org/wiki/Edward_Frankland
Alexander William Bickerton,John Tyndall,https://en.wikipedia.org/wiki/John_Tyndall
Alexander William Bickerton,Thomas Huxley,https://en.wikipedia.org/wiki/Thomas_Huxley
Harald Helfgott,Henryk Iwaniec,https://en.wikipedia.org/wiki/Henryk_Iwaniec
Harald Helfgott,Peter Sarnak,https://en.wikipedia.org/wiki/Peter_Sarnak
Dorothy Lewis Bernstein,Jacob Tamarkin,https://en.wikipedia.org/wiki/Jacob_Tamarkin
Louis de Broglie,Paul Langevin,https://en.wikipedia.org/wiki/Paul_Langevin
Josef Stefan,Andreas von Ettingshausen,https://en.wikipedia.org/wiki/Andreas_von_Ettingshausen
David J. Griffiths,Sidney Coleman,https://en.wikipedia.org/wiki/Sidney_Coleman
Kenneth W. Ford,John Archibald Wheeler,https://en.wikipedia.org/wiki/John_Archibald_Wheeler
Akshay Venkatesh,Peter Sarnak,https://en.wikipedia.org/wiki/Peter_Sarnak
Alex Eskin,Peter Sarnak,https://en.wikipedia.org/wiki/Peter_Sarnak
R. H. Bing,Robert Lee Moore,https://en.wikipedia.org/wiki/Robert_Lee_Moore
Wesley Clair Mitchell,J. Laurence Laughlin,https://en.wikipedia.org/wiki/James_Laurence_Laughlin
János Bolyai,Farkas Bolyai,https://en.wikipedia.org/wiki/Farkas_Bolyai
Ghulam Dastagir Alam,J. B. Hasted,https://en.wikipedia.org/wiki/John_Hasted
Ghulam Dastagir Alam,Abdus Salam,https://en.wikipedia.org/wiki/Abdus_Salam
Ghulam Dastagir Alam,Rafi Muhammad,https://en.wikipedia.org/wiki/Rafi_Muhammad_Chaudhry
Ghulam Dastagir Alam,Harrie Massey,https://en.wikipedia.org/wiki/Harrie_Massey
August Kundt,Heinrich Gustav Magnus,https://en.wikipedia.org/wiki/Heinrich_Gustav_Magnus
Paul Davies,M. J. Seaton,https://en.wikipedia.org/wiki/M._J._Seaton
Paul Davies,Sigurd Zienau,https://en.wikipedia.org/wiki/Sigurd_Zienau
Paul Davies,Fred Hoyle,https://en.wikipedia.org/wiki/Fred_Hoyle
Konrad Knopp,Friedrich Schottky,https://en.wikipedia.org/wiki/Friedrich_Schottky
Konrad Knopp,Ferdinand Georg Frobenius,https://en.wikipedia.org/wiki/Ferdinand_Georg_Frobenius
Walter Noll,Clifford Truesdell,https://en.wikipedia.org/wiki/Clifford_Truesdell
Joseph Ritt,Edward Kasner,https://en.wikipedia.org/wiki/Edward_Kasner
Mauro Picone,Luigi Bianchi,https://en.wikipedia.org/wiki/Luigi_Bianchi
Crispin Nash-Williams,Shaun Wylie,https://en.wikipedia.org/wiki/Shaun_Wylie
Crispin Nash-Williams,David Rees,https://en.wikipedia.org/wiki/David_Rees_(mathematician)
Nicholas Bingham,D.G. Kendall,https://en.wikipedia.org/wiki/D.G._Kendall
David Siegmund,Herbert Robbins,https://en.wikipedia.org/wiki/Herbert_Robbins
Vladimir Arnold,Andrey Kolmogorov,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Wilhelm Ostwald,Carl Schmidt,https://en.wikipedia.org/wiki/Carl_Schmidt_(chemist)
Martin Karplus,Linus Pauling,https://en.wikipedia.org/wiki/Linus_Pauling
Isidor Isaac Rabi,Albert Potter Wills,https://en.wikipedia.org/wiki/Albert_Potter_Wills
Andrey Markov,Pafnuty Chebyshev,https://en.wikipedia.org/wiki/Pafnuty_Chebyshev
Otto Lummer,Hermann von Helmholtz,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Gregorio Baro,Instituut voor Kernphysisch Onderzoek,https://en.wikipedia.org/w/index.php?title=Instituut_voor_Kernphysisch_Onderzoek&action=edit&redlink=1
Gregorio Baro,Walter Seelmann-Eggebert,https://en.wikipedia.org/wiki/Walter_Seelmann-Eggebert
Gregorio Baro,Karlsruhe Institute of Technology,https://en.wikipedia.org/wiki/Karlsruhe_Institute_of_Technology
Lawrence Paul Horwitz,Julian Schwinger,https://en.wikipedia.org/wiki/Julian_Schwinger
Phokion G. Kolaitis,Yiannis N. Moschovakis,https://en.wikipedia.org/wiki/Yiannis_N._Moschovakis
Édouard Goursat,Jean Gaston Darboux,https://en.wikipedia.org/wiki/Jean_Gaston_Darboux
Johann Josef Loschmidt,Joseph Stefan,https://en.wikipedia.org/wiki/Joseph_Stefan
Richard Kenyon,William Thurston,https://en.wikipedia.org/wiki/William_Thurston
Hans Heilbronn,Edmund Landau,https://en.wikipedia.org/wiki/Edmund_Landau
Alexander von Brill,Alfred Clebsch,https://en.wikipedia.org/wiki/Alfred_Clebsch
William Fuller Brown Jr.,Shirley Leon Quimby,https://en.wikipedia.org/wiki/Shirley_Leon_Quimby
Jacques Hadamard,C. Émile Picard,https://en.wikipedia.org/wiki/Charles_%C3%89mile_Picard
Jacques Hadamard,Jules Tannery,https://en.wikipedia.org/wiki/Jules_Tannery
Casimir Lewy,G. E. Moore,https://en.wikipedia.org/wiki/G._E._Moore
Casimir Lewy,Ludwig Wittgenstein,https://en.wikipedia.org/wiki/Ludwig_Wittgenstein
Charles Elwood Mendenhall,Henry Rowland,https://en.wikipedia.org/wiki/Henry_Augustus_Rowland
Anthony Ichiro Sanda,John H. Schwarz,https://en.wikipedia.org/wiki/John_H._Schwarz
Hermann Kolbe,Robert Bunsen,https://en.wikipedia.org/wiki/Robert_Bunsen
Hermann Kolbe,Friedrich Wöhler,https://en.wikipedia.org/wiki/Friedrich_W%C3%B6hler
Émile Picard,Gaston Darboux,https://en.wikipedia.org/wiki/Gaston_Darboux
Sydney Chapman (mathematician),G. H. Hardy,https://en.wikipedia.org/wiki/G._H._Hardy
Jöns Jacob Berzelius,Johann Afzelius,https://en.wikipedia.org/wiki/Johann_Afzelius
Eugène Charles Catalan,Joseph Liouville,https://en.wikipedia.org/wiki/Joseph_Liouville
Alberto Calderón,Antoni Zygmund,https://en.wikipedia.org/wiki/Antoni_Zygmund
Balázs Győrffy,Willis Lamb,https://en.wikipedia.org/wiki/Willis_Lamb
Herbert H. Chen,Sam Treiman,https://en.wikipedia.org/wiki/Sam_Treiman
Harold Scott MacDonald Coxeter,H. F. Baker,https://en.wikipedia.org/wiki/H._F._Baker
Arthur P. Dempster,John Tukey,https://en.wikipedia.org/wiki/John_Tukey
Steven J. Miller,Peter Sarnak,https://en.wikipedia.org/wiki/Peter_Sarnak
Steven J. Miller,Henryk Iwaniec,https://en.wikipedia.org/wiki/Henryk_Iwaniec
Georg Aumann,Constantin Carathéodory,https://en.wikipedia.org/wiki/Constantin_Carath%C3%A9odory
Georg Aumann,Heinrich Tietze,https://en.wikipedia.org/wiki/Heinrich_Franz_Friedrich_Tietze
Rana X. Adhikari,Rainer Weiss,https://en.wikipedia.org/wiki/Rainer_Weiss
Rana X. Adhikari,Peter Fritschel,https://en.wikipedia.org/w/index.php?title=Peter_Fritschel&action=edit&redlink=1
Jacob Volhard,Justus Liebig,https://en.wikipedia.org/wiki/Justus_Liebig
Jacob Volhard,Heinrich Will,https://en.wikipedia.org/w/index.php?title=Heinrich_Will&action=edit&redlink=1
Nikolai Luzin,Dmitri Egorov,https://en.wikipedia.org/wiki/Dmitri_Egorov
Roscoe G. Dickinson,Arthur Amos Noyes,https://en.wikipedia.org/wiki/Arthur_Amos_Noyes
Jayant Narlikar,Fred Hoyle,https://en.wikipedia.org/wiki/Fred_Hoyle
Norman Matloff,Thomas M. Liggett,https://en.wikipedia.org/wiki/Thomas_M._Liggett
Johannes Bosscha,Pieter Rijke,https://en.wikipedia.org/wiki/Pieter_Rijke
Ken Forbus,Gerald Jay Sussman,https://en.wikipedia.org/wiki/Gerald_Jay_Sussman
Milton S. Plesset,John Archibald Wheeler,https://en.wikipedia.org/wiki/John_Archibald_Wheeler
Constantin Le Paige,François Folie,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Folie
Constantin Le Paige,Eugène Charles Catalan,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Charles_Catalan
Shreeram Shankar Abhyankar,Oscar Zariski,https://en.wikipedia.org/wiki/Oscar_Zariski
Peter Johnstone (mathematician),John Frank Adams,https://en.wikipedia.org/wiki/Frank_Adams
Hans Bethe,Arnold Sommerfeld,https://en.wikipedia.org/wiki/Arnold_Sommerfeld
Elon Lindenstrauss,Benjamin Weiss,https://en.wikipedia.org/wiki/Benjamin_Weiss
Wilhelm Wien,Hermann von Helmholtz,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Dror Bar-Natan,Edward Witten,https://en.wikipedia.org/wiki/Edward_Witten
Ludwig Bieberbach,Felix Klein,https://en.wikipedia.org/wiki/Felix_Klein
Malcolm Perry (physicist),Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Georg Alexander Pick,Leo Königsberger,https://en.wikipedia.org/wiki/Leo_K%C3%B6nigsberger
Charles M. Sommerfield,Julian Schwinger,https://en.wikipedia.org/wiki/Julian_Schwinger
Harvey Fletcher,Robert A. Millikan,https://en.wikipedia.org/wiki/Robert_Andrews_Millikan
Barry Barish,A. Carl Helmholz,https://en.wikipedia.org/wiki/A._Carl_Helmholz
Georgiy Shilov,Israel Gelfand,https://en.wikipedia.org/wiki/Israel_Gelfand
Keith J. Laidler,Henry Eyring,https://en.wikipedia.org/wiki/Henry_Eyring_(chemist)
Keith J. Laidler,Cyril Norman Hinshelwood,https://en.wikipedia.org/wiki/Cyril_Norman_Hinshelwood
Kenneth Kunen,Dana Scott,https://en.wikipedia.org/wiki/Dana_Scott
Robert M. Solovay,Saunders Mac Lane,https://en.wikipedia.org/wiki/Saunders_Mac_Lane
Václav Chvátal,Crispin Nash-Williams,https://en.wikipedia.org/wiki/Crispin_Nash-Williams
Akiva Yaglom,Andrey Kolmogorov,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Cleve Moler,George Forsythe,https://en.wikipedia.org/wiki/George_Forsythe
Mina Aganagić,John Henry Schwarz,https://en.wikipedia.org/wiki/John_Henry_Schwarz
Karl Bühler,Oswald Külpe,https://en.wikipedia.org/wiki/Oswald_K%C3%BClpe
