Nome,advisor,link_adv
Hugo Steinhaus,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Max Born,Carl Runge,https://en.wikipedia.org/wiki/Carl_Runge
Max Born,Woldemar Voigt,https://en.wikipedia.org/wiki/Woldemar_Voigt
Max Born,Karl Schwarzschild,https://en.wikipedia.org/wiki/Karl_Schwarzschild
Max Born,Joseph Larmor,https://en.wikipedia.org/wiki/Joseph_Larmor
Max Born,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Dennis W. Sciama,Paul Dirac,https://en.wikipedia.org/wiki/Paul_Dirac
Frederick Mosteller,Samuel S. Wilks,https://en.wikipedia.org/wiki/Samuel_S._Wilks
Frederick Mosteller,John Tukey,https://en.wikipedia.org/wiki/John_Tukey
Ugo Broggi,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Adrian Melott,Dennis Sciama,https://en.wikipedia.org/wiki/Dennis_Sciama
Richard Dedekind,Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Martin Rees,Dennis Sciama,https://en.wikipedia.org/wiki/Dennis_Sciama
Kurt Gottfried,Victor Weisskopf,https://en.wikipedia.org/wiki/Victor_Weisskopf
Joseph Larmor,Edward Routh,https://en.wikipedia.org/wiki/Edward_Routh
Martin Davis (mathematician),Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church
Alfred Kleiner,Johann Jakob Müller,https://en.wikipedia.org/wiki/Johann_Jakob_M%C3%BCller
David H. Frisch,Victor Weisskopf,https://en.wikipedia.org/wiki/Victor_Weisskopf
Paul Halmos,Joseph L. Doob,https://en.wikipedia.org/wiki/Joseph_L._Doob
Wilhelm Wirtinger,Emil Weyr,https://en.wikipedia.org/wiki/Emil_Weyr
Wilhelm Wirtinger,Gustav Ritter von Escherich,https://en.wikipedia.org/wiki/Gustav_Ritter_von_Escherich
August Ferdinand Möbius,Johann Pfaff,https://en.wikipedia.org/wiki/Johann_Pfaff
August Ferdinand Möbius,Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
August Ferdinand Möbius,Karl Mollweide,https://en.wikipedia.org/wiki/Karl_Mollweide
Enrico Fermi,Luigi Puccianti,https://en.wikipedia.org/wiki/Luigi_Puccianti
Enrico Fermi,Max Born,https://en.wikipedia.org/wiki/Max_Born
Enrico Fermi,Paul Ehrenfest,https://en.wikipedia.org/wiki/Paul_Ehrenfest
Roland Weitzenböck,Wilhelm Wirtinger,https://en.wikipedia.org/wiki/Wilhelm_Wirtinger
Roland Weitzenböck,Gustav Ritter von Escherich,https://en.wikipedia.org/wiki/Gustav_Ritter_von_Escherich
Nicholas Rescher,Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church
Nicholas Rescher,Ledger Wood,https://en.wikipedia.org/wiki/Ledger_Wood
Ernest Sosa,Nicholas Rescher,https://en.wikipedia.org/wiki/Nicholas_Rescher
Kurt Gödel,Hans Hahn,https://en.wikipedia.org/wiki/Hans_Hahn_(mathematician)
Paul Lévy (mathematician),Jacques Hadamard,https://en.wikipedia.org/wiki/Jacques_Hadamard
Paul Lévy (mathematician),Vito Volterra,https://en.wikipedia.org/wiki/Vito_Volterra
Stephen Hawking,Dennis W. Sciama,https://en.wikipedia.org/wiki/Dennis_W._Sciama
Pascual Jordan,Max Born,https://en.wikipedia.org/wiki/Max_Born
Bernard Galler,Paul Halmos,https://en.wikipedia.org/wiki/Paul_Halmos
Bernard Galler,Marshall Stone,https://en.wikipedia.org/wiki/Marshall_Stone
Peter Lax,K. O. Friedrichs,https://en.wikipedia.org/wiki/Kurt_O._Friedrichs
Alan Yuille,S. W. Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Max Delbrück,Lise Meitner,https://en.wikipedia.org/wiki/Lise_Meitner
Nicholas Georgescu-Roegen,Traian Lalescu,https://en.wikipedia.org/wiki/Traian_Lalescu
Nicholas Georgescu-Roegen,Émile Borel,https://en.wikipedia.org/wiki/%C3%89mile_Borel
Nicholas Georgescu-Roegen,Karl Pearson,https://en.wikipedia.org/wiki/Karl_Pearson
Nicholas Georgescu-Roegen,Joseph Schumpeter,https://en.wikipedia.org/wiki/Joseph_Schumpeter
Chung Kai-lai,Harald Cramér,https://en.wikipedia.org/wiki/Harald_Cram%C3%A9r
Chung Kai-lai,John Wilder Tukey,https://en.wikipedia.org/wiki/John_Wilder_Tukey
Raymond Smullyan,Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church
John A. Hartigan,John Tukey,https://en.wikipedia.org/wiki/John_Tukey
John A. Hartigan,Frank Anscombe,https://en.wikipedia.org/wiki/Frank_Anscombe
Gustav von Escherich,Johannes Frischauf,https://en.wikipedia.org/wiki/Johannes_Frischauf
Gustav von Escherich,Karl Friesach,https://en.wikipedia.org/w/index.php?title=Karl_Friesach&action=edit&redlink=1
Kurt Schütte,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Dénes Kőnig,József Kürschák,https://en.wikipedia.org/wiki/J%C3%B3zsef_K%C3%BCrsch%C3%A1k
Dénes Kőnig,Hermann Minkowski,https://en.wikipedia.org/wiki/Hermann_Minkowski
Vidyadhar P. Godambe,George Alfred Barnard,https://en.wikipedia.org/wiki/George_Alfred_Barnard
Carl H. Hermann,Max Born,https://en.wikipedia.org/wiki/Max_Born
Carl H. Hermann,Herman Francis Mark,https://en.wikipedia.org/wiki/Herman_Francis_Mark
Carl H. Hermann,Paul Peter Ewald,https://en.wikipedia.org/wiki/Paul_Peter_Ewald
Marshall H. Stone,G. D. Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
Lothar Wolfgang Nordheim,Max Born,https://en.wikipedia.org/wiki/Max_Born
André-Louis Debierne,Pierre Curie,https://en.wikipedia.org/wiki/Pierre_Curie
André-Louis Debierne,Charles Friedel,https://en.wikipedia.org/wiki/Charles_Friedel
Michel Loève,Paul Lévy,https://en.wikipedia.org/wiki/Paul_L%C3%A9vy_(mathematician)
Burton Wendroff,Peter Lax,https://en.wikipedia.org/wiki/Peter_Lax
Margarethe Kahn,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Margarethe Kahn,Felix Klein,https://en.wikipedia.org/wiki/Felix_Klein
Beatrice Worsley,Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing
Beatrice Worsley,Douglas Hartree,https://en.wikipedia.org/wiki/Douglas_Hartree
Michael Fekete,Lipót Fejér,https://en.wikipedia.org/wiki/Lip%C3%B3t_Fej%C3%A9r
Peter Coles,John D. Barrow,https://en.wikipedia.org/wiki/John_D._Barrow
Kurt Otto Friedrichs,Richard Courant,https://en.wikipedia.org/wiki/Richard_Courant
Geoffrey Chew,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Edward Leamington Nichols,Johann Benedict Listing,https://en.wikipedia.org/wiki/Johann_Benedict_Listing
Edward Leamington Nichols,Hermann von Helmholtz,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Edward Leamington Nichols,Gustav Kirchhoff,https://en.wikipedia.org/wiki/Gustav_Kirchhoff
Tim Palmer (physicist),Dennis William Sciama,https://en.wikipedia.org/wiki/Dennis_William_Sciama
Solomon Lefschetz,William Edward Story,https://en.wikipedia.org/wiki/William_Edward_Story
James Jurin,Roger Cotes,https://en.wikipedia.org/wiki/Roger_Cotes
James Jurin,William Whiston,https://en.wikipedia.org/wiki/William_Whiston
James Jurin,Richard Bentley,https://en.wikipedia.org/wiki/Richard_Bentley
Arthur P. Dempster,John Tukey,https://en.wikipedia.org/wiki/John_Tukey
Walter Bodmer,Ronald Fisher,https://en.wikipedia.org/wiki/Ronald_Fisher
Edwin Thompson Jaynes,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner
Émile Henriot (chemist),Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
John McCarthy (computer scientist),Donald C. Spencer,https://en.wikipedia.org/wiki/Donald_C._Spencer
Persi Diaconis,Dennis Arnold Hejhal,https://en.wikipedia.org/wiki/Dennis_Hejhal
Persi Diaconis,Frederick Mosteller,https://en.wikipedia.org/wiki/Frederick_Mosteller
John Bardeen,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner
John Bardeen,John Hasbrouck Van Vleck,https://en.wikipedia.org/wiki/John_Hasbrouck_Van_Vleck
Nicolas Fuss,Leonhard Euler,https://en.wikipedia.org/wiki/Leonhard_Euler
Moritz Abraham Stern,Bernhard Friedrich Thibaut,https://en.wikipedia.org/wiki/Bernhard_Friedrich_Thibaut
Moritz Abraham Stern,Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
John Wishart (statistician),Karl Pearson,https://en.wikipedia.org/wiki/Karl_Pearson
Johann Friedrich Pfaff,Abraham Kästner,https://en.wikipedia.org/wiki/Abraham_Kaestner
Johann Friedrich Pfaff,Johann Elert Bode,https://en.wikipedia.org/wiki/Johann_Elert_Bode
George David Birkhoff,E. H. Moore,https://en.wikipedia.org/wiki/E._H._Moore
J. Robert Oppenheimer,Max Born,https://en.wikipedia.org/wiki/Max_Born
George F. R. Ellis,Dennis W. Sciama,https://en.wikipedia.org/wiki/Dennis_Sciama
Sam Treiman,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Sam Treiman,John Alexander Simpson,https://en.wikipedia.org/wiki/John_Alexander_Simpson
George Logemann,Peter David Lax,https://en.wikipedia.org/wiki/Peter_David_Lax
George Logemann,Robert Davis Richtmyer,https://en.wikipedia.org/wiki/Robert_Davis_Richtmyer
Ami Harten,Peter Lax,https://en.wikipedia.org/wiki/Peter_Lax
Jack Steinberger,Edward Teller,https://en.wikipedia.org/wiki/Edward_Teller
Jack Steinberger,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Samuel S. Wilks,Henry Louis Rietz,https://en.wikipedia.org/wiki/Henry_Louis_Rietz
Hans Hahn (mathematician),Gustav Ritter von Escherich,https://en.wikipedia.org/wiki/Gustav_Ritter_von_Escherich
Allan Hazlett,Ernest Sosa,https://en.wikipedia.org/wiki/Ernest_Sosa
Béla Bollobás,László Fejes Tóth,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Fejes_T%C3%B3th
Béla Bollobás,Paul Erdős,https://en.wikipedia.org/wiki/Paul_Erd%C5%91s
Béla Bollobás,Frank Adams,https://en.wikipedia.org/wiki/Frank_Adams
Edward Routh,William Hopkins,https://en.wikipedia.org/wiki/William_Hopkins
Edward Routh,Augustus De Morgan,https://en.wikipedia.org/wiki/Augustus_De_Morgan
Edward Routh,Isaac Todhunter,https://en.wikipedia.org/wiki/Isaac_Todhunter
William Whiston,Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton
William Whiston,Robert Herne,https://en.wikipedia.org/w/index.php?title=Robert_Herne&action=edit&redlink=1
Douglas Hartree,Ralph H. Fowler,https://en.wikipedia.org/wiki/Ralph_H._Fowler
Charlotte Froese Fischer,Douglas Hartree,https://en.wikipedia.org/wiki/Douglas_Hartree
Leo Breiman,Michel Loève,https://en.wikipedia.org/wiki/Michel_Lo%C3%A8ve
Keith Martin Ball,Béla Bollobás,https://en.wikipedia.org/wiki/B%C3%A9la_Bollob%C3%A1s
George Mackey,Marshall H. Stone,https://en.wikipedia.org/wiki/Marshall_H._Stone
Salomon Bochner,Erhard Schmidt,https://en.wikipedia.org/wiki/Erhard_Schmidt
Paul Peter Ewald,Arnold Sommerfeld,https://en.wikipedia.org/wiki/Arnold_Sommerfeld
Paul Peter Ewald,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
