Nome,Ano_Nasc,Pais,Campo_Principal,link
James S. Langer,1934.0,US,Physicist,https://en.wikipedia.org/wiki/James_S._Langer
Julia Lermontova,1846.0,Russia,Chemistry,https://en.wikipedia.org/wiki/Julia_Lermontova
Alexander Dalgarno,1928.0,England,Chemistry,https://en.wikipedia.org/wiki/Alexander_Dalgarno
David B. Goldstein (energy policy expert),1928.0,England,Chemistry,https://en.wikipedia.org/wiki/David_B._Goldstein_(energy_policy_expert)
Jacob Tamarkin,1888.0,Ukraine),Mathematics,https://en.wikipedia.org/wiki/Jacob_Tamarkin
Wang Ganchang,1907.0,Qing dynasty,Nuclear physics,https://en.wikipedia.org/wiki/Kan-Chang_Wang
Gul Agha (computer scientist),,Pakistan,Computer science,https://en.wikipedia.org/wiki/Gul_Agha_(computer_scientist)
John Newport Langley,1852.0,England,Physiologist,https://en.wikipedia.org/wiki/John_Newport_Langley
Felix Villars,1921.0,Switzerland,Physiologist,https://en.wikipedia.org/wiki/Felix_Villars
Gustav Heinrich Johann Apollon Tammann,1861.0,Russian Empire,Physical chemistry,https://en.wikipedia.org/wiki/Gustav_Heinrich_Johann_Apollon_Tammann
Gerhard Gentzen,1909.0,Germany,Mathematics,https://en.wikipedia.org/wiki/Gerhard_Gentzen
John Moffat (physicist),1932.0,Denmark,Physics,https://en.wikipedia.org/wiki/John_Moffat_(physicist)
Arthur F. Burns,1904.0,Ukraine),Physics,https://en.wikipedia.org/wiki/Arthur_F._Burns
Anne Bosworth Focke,1868.0,US,Mathematics,https://en.wikipedia.org/wiki/Anne_Bosworth
Bertram Boltwood,1870.0,Massachusetts,Radiochemistry,https://en.wikipedia.org/wiki/Bertram_Boltwood
Robin Sibson,1944.0,Born(1944-05-04)4 May 1944,Statistics,https://en.wikipedia.org/wiki/Robin_Sibson
Joseph Weinberg,1917.0,U.S.,Statistics,https://en.wikipedia.org/wiki/Joseph_Weinberg
Noah Rosenberg,1917.0,U.S.,Statistics,https://en.wikipedia.org/wiki/Noah_Rosenberg
Bill Pickering (rocket scientist),1910.0,New Zealand,Statistics,https://en.wikipedia.org/wiki/William_Hayward_Pickering
László Lovász,1948.0,Hungary,Computer Science,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Lov%C3%A1sz
Israel Gelfand,1913.0,Russian Empire,Mathematician,https://en.wikipedia.org/wiki/Israil_Gelfand
Martin Lewis Perl,1927.0,New York,Physics,https://en.wikipedia.org/wiki/Martin_Lewis_Perl
Richard Rado,1906.0,Germany,Mathematics,https://en.wikipedia.org/wiki/Richard_Rado
Mikhail Lukin,1971.0,Russian SFSR,Physics,https://en.wikipedia.org/wiki/Mikhail_Lukin
Kari Karhunen,1915.0,Finland,Mathematics,https://en.wikipedia.org/wiki/Kari_Karhunen
Mary Gertrude Haseman,1889.0,US,Mathematics,https://en.wikipedia.org/wiki/Mary_Gertrude_Haseman
Michael Bratman,1945.0,1945 (age 78),Mathematics,https://en.wikipedia.org/wiki/Michael_Bratman
Thomas K. Donaldson,1944.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Thomas_K._Donaldson
Ian R. Porteous,1930.0,Born(1930-10-09)9 October 1930,Mathematics,https://en.wikipedia.org/wiki/Ian_R._Porteous
Joseph Liouville,1809.0,France,Mathematics,https://en.wikipedia.org/wiki/Joseph_Liouville
Corrado Böhm,1923.0,Born(1923-01-17)17 January 1923Milan,Computer science,https://en.wikipedia.org/wiki/Corrado_B%C3%B6hm
Veeravalli S. Varadarajan,1937.0,India [1],Mathematics,https://en.wikipedia.org/wiki/Veeravalli_S._Varadarajan
Leon Lichtenstein,1878.0,Russian Empire,Mathematics,https://en.wikipedia.org/wiki/Leon_Lichtenstein
Edwige Pitel,1967.0,France,Mathematics,https://en.wikipedia.org/wiki/Edwige_Pitel
Julio Rey Pastor,1888.0,Spain,Mathematics,https://en.wikipedia.org/wiki/Julio_Rey_Pastor
Anatoli Vitushkin,1931.0,Soviet Union,Mathematician,https://en.wikipedia.org/wiki/Anatoli_Georgievich_Vitushkin
Julio Gea-Banacloche,1957.0,Spain,Physicist,https://en.wikipedia.org/wiki/Julio_Gea-Banacloche
Nikolaus Wolfgang Fischer,1782.0,Germany,Physicist,https://en.wikipedia.org/wiki/Nikolaus_Wolfgang_Fischer
Peter Minkowski,1941.0,Born (1941-05-10) 10 May 1941 (age 82)Zürich,Theoretical physics,https://en.wikipedia.org/wiki/Peter_Minkowski
Douglas Hartree,1897.0,UK,numerical analysis,https://en.wikipedia.org/wiki/Douglas_Rayner_Hartree
Marston Morse,1892.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Marston_Morse
Friedrich Bessel,1784.0,Kingdom of Prussia,Astronomy,https://en.wikipedia.org/wiki/Friedrich_Bessel
Jovan Karamata,1902.0,Kingdom of Croatia-Slavoniawithin Austria-Hungary(modern Croatia),Mathematics,https://en.wikipedia.org/wiki/Jovan_Karamata
Jacques Distler,1961.0,Canada,physics,https://en.wikipedia.org/wiki/Jacques_Distler
Benjamin C. Pierce,1961.0,Canada,physics,https://en.wikipedia.org/wiki/Benjamin_C._Pierce
Sidney Coleman,1937.0,US,Physicist,https://en.wikipedia.org/wiki/Sidney_R._Coleman
Stephen Wolfram,1959.0,England,Mathematics,https://en.wikipedia.org/wiki/Stephen_Wolfram
Paul Seidel,1970.0,Italy,Mathematics,https://en.wikipedia.org/wiki/Paul_Seidel
Robert Brandenberger,1956.0,Switzerland,Mathematics,https://en.wikipedia.org/wiki/Robert_Brandenberger
Fritz Machlup,1902.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Fritz_Machlup
Luis von Ahn,1978.0,Guatemala,Human-based computation games,https://en.wikipedia.org/wiki/Luis_von_Ahn
Andrew Booker (mathematician),1976.0,Born1976,Mathematics,https://en.wikipedia.org/wiki/Andrew_Booker_(mathematician)
Tom Kibble,1932.0,British India,Theoretical physics,https://en.wikipedia.org/wiki/Tom_Kibble
Wilhelm Röntgen,1845.0,German Confederation,Physics,https://en.wikipedia.org/wiki/Wilhelm_Conrad_R%C3%B6ntgen
"John William Strutt, 3rd Baron Rayleigh",1842.0,England,Physics,"https://en.wikipedia.org/wiki/John_William_Strutt,_3rd_Baron_Rayleigh"
Richard H. Price,1943.0,New York,Physics,https://en.wikipedia.org/wiki/Richard_H._Price
Gustav Herglotz,1881.0,Austro-Hungarian Empire,Physics,https://en.wikipedia.org/wiki/Gustav_Herglotz
David A. Freedman,1938.0,Canada,Statistics,https://en.wikipedia.org/wiki/David_A._Freedman
Andrew Casson,1943.0,Born1943 (age 79–80),Mathematics,https://en.wikipedia.org/wiki/Andrew_Casson
Mark Adler,1959.0,U.S.,Data compression,https://en.wikipedia.org/wiki/Mark_Adler
Alfred Schild,1921.0,Turkey,Mathematical physics,https://en.wikipedia.org/wiki/Alfred_Schild
Andrey Kolmogorov,1903.0,Russian Empire,Mathematics,https://en.wikipedia.org/wiki/Andrey_Kolmogorov
Carl M. Bender,1943.0,Born1943,Mathematics,https://en.wikipedia.org/wiki/Carl_M._Bender
Harry Pollard (mathematician),1919.0,Born28 February 1919,Celestial mechanics,https://en.wikipedia.org/wiki/Harry_Pollard_(mathematician)
Katie Mack (astrophysicist),1981.0,BornKatherine J. Mack (1981-05-01) 1 May 1981 (age 42),Cosmology,https://en.wikipedia.org/wiki/Katie_Mack_(astrophysicist)
Francis Bitter,1902.0,New Jersey,Physics,https://en.wikipedia.org/wiki/Francis_Bitter
Anthony Morse,1911.0,New York,Physics,https://en.wikipedia.org/wiki/Anthony_Morse
Richard Buckingham,1911.0,Born17 July 1911Norwich,particle physics,https://en.wikipedia.org/wiki/Richard_Buckingham
Paul A. Catlin,1948.0,1948,Mathematics,https://en.wikipedia.org/wiki/Paul_A._Catlin
Mihajlo Pupin,1854.0,Austrian Empire(now Serbia),Physics,https://en.wikipedia.org/wiki/Michael_I._Pupin
John Archibald Wheeler,1911.0,US,Physics,https://en.wikipedia.org/wiki/John_Archibald_Wheeler
Leopold Gmelin,1788.0,Born(1788-08-02)2 August 1788Göttingen,Chemistry,https://en.wikipedia.org/wiki/Leopold_Gmelin
Ernst Leonard Lindelöf,1870.0,Born7 March 1870Helsinki,Mathematics,https://en.wikipedia.org/wiki/Ernst_Leonard_Lindel%C3%B6f
Jean Gaston Darboux,1842.0,France,Mathematics,https://en.wikipedia.org/wiki/Jean_Gaston_Darboux
Gustav A. Hedlund,1904.0,US,Mathematics,https://en.wikipedia.org/wiki/Gustav_Hedlund
John R. Klauder,1932.0,US,Physics and Mathematics,https://en.wikipedia.org/wiki/John_R._Klauder
Robert Muir (pathologist),1864.0,Stirlingshire,Physics and Mathematics,https://en.wikipedia.org/wiki/Robert_Muir_(pathologist)
Arthur Geoffrey Walker,1909.0,England,Physics and Mathematics,https://en.wikipedia.org/wiki/Arthur_Geoffrey_Walker
Sandip Trivedi,1963.0,Born5 April 1963 (1963-04-05) (age 60)India,Theoretical physics,https://en.wikipedia.org/wiki/Sandip_Trivedi
George F. D. Duff,1926.0,Canada,Mathematics,https://en.wikipedia.org/wiki/George_F._D._Duff
Ernst Hölder,1901.0,Germany,Mathematics,https://en.wikipedia.org/wiki/Ernst_H%C3%B6lder
Francis Su,1901.0,Germany,Mathematics,https://en.wikipedia.org/wiki/Francis_Su
Victor Ginzburg,1957.0,Russia,Mathematics,https://en.wikipedia.org/wiki/Victor_Ginzburg
Irène Joliot-Curie,1897.0,France,Chemistry,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
Irving Stringham,1847.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Irving_Stringham
Wilhelm Kühne,1837.0,Germany,Physiology,https://en.wikipedia.org/wiki/Wilhelm_K%C3%BChne
Virginia Ragsdale,1870.0,US,Mathematics,https://en.wikipedia.org/wiki/Virginia_Ragsdale
Michael Horne (physicist),1943.0,USA,Physicist,https://en.wikipedia.org/wiki/Michael_Horne_(physicist)
Aurel Wintner,1903.0,Hungary,Mathematics,https://en.wikipedia.org/wiki/Aurel_Wintner
Michael Nielsen,1974.0,1974 (age 49),Physics,https://en.wikipedia.org/wiki/Michael_Nielsen
Paul Ginsparg,1955.0,United States,Physics,https://en.wikipedia.org/wiki/Paul_Ginsparg
Bennie Ward,1948.0,USA,Physics,https://en.wikipedia.org/wiki/B_F_L_Ward
François Loeser,1958.0,Born (1958-08-25) 25 August 1958 (age 65)Mulhouse,Mathematics,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Loeser
E. T. Whittaker,1873.0,England,Mathematics,https://en.wikipedia.org/wiki/Edmund_Taylor_Whittaker
William A. Martin,1938.0,Oklahoma,Electrical engineering,https://en.wikipedia.org/wiki/William_A._Martin
D. H. Lehmer,1905.0,California,Mathematics,https://en.wikipedia.org/wiki/Derrick_Henry_Lehmer
Moritz Cantor,1829.0,Born(1829-08-23)23 August 1829Mannheim,History of mathematics,https://en.wikipedia.org/wiki/Moritz_Cantor
Saunders Mac Lane,1909.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Saunders_Mac_Lane
Michael Rossmann,1930.0,Germany,Biophysics,https://en.wikipedia.org/wiki/Michael_Rossmann
Ernst Chladni,1756.0,Saxony,Physics,https://en.wikipedia.org/wiki/Ernst_Chladni
Paul Painlevé,1863.0,Born5 December 1863Paris,Physics,https://en.wikipedia.org/wiki/Paul_Painlev%C3%A9
Philipp Franz von Walther,1782.0,Holy Roman Empire,Ophthalmology,https://en.wikipedia.org/wiki/Philipp_Franz_von_Walther
Andrew Putman,1979.0,1979 (age 43),Mathematics,https://en.wikipedia.org/wiki/Andrew_Putman
Alexander William Bickerton,1842.0,England,Physics,https://en.wikipedia.org/wiki/Alexander_Bickerton
Harald Helfgott,1977.0,Peru,Mathematics,https://en.wikipedia.org/wiki/Harald_Helfgott
Dorothy Lewis Bernstein,1914.0,U.S.,Applied mathematics,https://en.wikipedia.org/wiki/Dorothy_Lewis_Bernstein
Louis de Broglie,1892.0,France,Physics,https://en.wikipedia.org/wiki/Louis_de_Broglie
Josef Stefan,1835.0,Austrian Empire,Physicist,https://en.wikipedia.org/wiki/Joseph_Stefan
David J. Griffiths,1942.0,Born (1942-12-05) 5 December 1942 (age 80),Particle physics  Electromagnetism,https://en.wikipedia.org/wiki/David_Griffiths_(physicist)
Kenneth W. Ford,1926.0,U.S.,Physics,https://en.wikipedia.org/wiki/Kenneth_W._Ford
Akshay Venkatesh,1981.0,India,Mathematics,https://en.wikipedia.org/wiki/Akshay_Venkatesh
Alex Eskin,1965.0,USSR,Mathematics,https://en.wikipedia.org/wiki/Alex_Eskin
Wilhelm Georg Friedrich Roscher,1817.0,Kingdom of Hanover,Mathematics,https://en.wikipedia.org/wiki/Wilhelm_Roscher
Chandra Wickramasinghe,1939.0,Born (1939-01-20) 20 January 1939 (age 84),Astrobiology,https://en.wikipedia.org/wiki/Chandra_Wickramasinghe
R. H. Bing,1914.0,Texas,Mathematics,https://en.wikipedia.org/wiki/R._H._Bing
Wesley Clair Mitchell,1874.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Wesley_Clair_Mitchell
János Bolyai,1802.0,Romania),Mathematics,https://en.wikipedia.org/wiki/J%C3%A1nos_Bolyai
Ghulam Dastagir Alam,1937.0,British India(Present-day in Haryana in India),Theoretical physics,https://en.wikipedia.org/wiki/GD_Alam
August Kundt,1839.0,Germany,Physicist,https://en.wikipedia.org/wiki/August_Kundt
Paul Davies,1946.0,United Kingdom,Physics,https://en.wikipedia.org/wiki/Paul_C._W._Davies
Konrad Knopp,1882.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Konrad_Knopp
Walter Noll,1925.0,Germany,Applied mathematics,https://en.wikipedia.org/wiki/Walter_Noll
Joseph Ritt,1893.0,United States,Mathematics,https://en.wikipedia.org/wiki/Joseph_Ritt
Mauro Picone,1885.0,Italy,Calculus of variation,https://en.wikipedia.org/wiki/Mauro_Picone
Praveen Chaudhari,1937.0,India,Calculus of variation,https://en.wikipedia.org/wiki/Praveen_Chaudhari
Crispin Nash-Williams,1932.0,Wales,Mathematics,https://en.wikipedia.org/wiki/Crispin_Nash-Williams
Nicholas Bingham,1945.0,UK,Probability,https://en.wikipedia.org/wiki/Nicholas_Bingham
David Siegmund,1941.0,US,Statistics,https://en.wikipedia.org/wiki/David_Siegmund
Vladimir Arnold,1937.0,Soviet Union,Mathematics,https://en.wikipedia.org/wiki/Vladimir_Arnold
Wilhelm Ostwald,1853.0,Russian Empire,Physical chemistry,https://en.wikipedia.org/wiki/Wilhelm_Ostwald
Martin Karplus,1930.0,Austria[2],Physical chemistry,https://en.wikipedia.org/wiki/Martin_Karplus
Friedrich Heinrich Albert Wangerin,1844.0,Germany,Mathematician,https://en.wikipedia.org/wiki/Friedrich_Heinrich_Albert_Wangerin
Isidor Isaac Rabi,1898.0,Austria-Hungary(present-day Poland),Physics,https://en.wikipedia.org/wiki/Isidor_Isaac_Rabi
Andrey Markov,1856.0,Russian Empire,Mathematics,https://en.wikipedia.org/wiki/Andrey_Markov
Otto Lummer,1860.0,Principality of Reuss-Gera,Physics,https://en.wikipedia.org/wiki/Otto_Lummer
Gregorio Baro,1928.0,Argentina,Radiochemistry,https://en.wikipedia.org/wiki/Gregorio_Baro
Karlsruhe Institute of Technology,1928.0,Argentina,Radiochemistry,https://en.wikipedia.org/wiki/Karlsruhe_Institute_of_Technology
Lawrence Paul Horwitz,1930.0,United States,Physics,https://en.wikipedia.org/wiki/Lawrence_Paul_Horwitz
Phokion G. Kolaitis,1950.0,Greece,Database systems,https://en.wikipedia.org/wiki/Phokion_G._Kolaitis
Édouard Goursat,1858.0,Lot,Mathematics,https://en.wikipedia.org/wiki/%C3%89douard_Goursat
Johann Josef Loschmidt,1821.0,Czech Republic),chemistry,https://en.wikipedia.org/wiki/Johann_Josef_Loschmidt
Richard Kenyon,1964.0,1964 (age 59),Mathematics,https://en.wikipedia.org/wiki/Richard_Kenyon
Hans Heilbronn,1908.0,BornHans Arnold Heilbronn(1908-10-08)8 October 1908Berlin,Mathematics,https://en.wikipedia.org/wiki/Hans_Heilbronn
Alexander von Brill,1842.0,Born(1842-09-20)20 September 1842Darmstadt,Mathematics,https://en.wikipedia.org/wiki/Alexander_von_Brill
William Fuller Brown Jr.,1904.0,New York,magnetism,https://en.wikipedia.org/wiki/William_Fuller_Brown_Jr.
Jacques Hadamard,1865.0,France,Mathematics,https://en.wikipedia.org/wiki/Jacques_Hadamard
Casimir Lewy,1919.0,Second Polish Republic,Mathematics,https://en.wikipedia.org/wiki/Casimir_Lewy
Pyotr Kapitsa,1894.0,Russian Empire,Physics,https://en.wikipedia.org/wiki/Pyotr_Kapitsa
Charles Elwood Mendenhall,1872.0,U.S.,Physics,https://en.wikipedia.org/wiki/Charles_Elwood_Mendenhall
Anthony Ichiro Sanda,1944.0,1944 (age 79),Physicist,https://en.wikipedia.org/wiki/Anthony_Ichiro_Sanda
Hermann Kolbe,1818.0,Kingdom of Hanover,Chemist,https://en.wikipedia.org/wiki/Hermann_Kolbe
Émile Picard,1856.0,France,Mathematics,https://en.wikipedia.org/wiki/%C3%89mile_Picard
Sydney Chapman (mathematician),1888.0,England,Mathematics,https://en.wikipedia.org/wiki/Sydney_Chapman_(mathematician)
Jöns Jacob Berzelius,1779.0,Sweden,Chemistry,https://en.wikipedia.org/wiki/J%C3%B6ns_Jakob_Berzelius
Eugène Charles Catalan,1814.0,Belgium,Mathematics,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Charles_Catalan
Eduardo Torroja Caballe,1847.0,Spain,Geometry,https://en.wikipedia.org/wiki/Eduardo_Torroja_Caball%C3%A9
Alberto Calderón,1920.0,Argentina,Mathematics,https://en.wikipedia.org/wiki/Alberto_Calder%C3%B3n
Balázs Győrffy,1938.0,Hungary,solid-state physics,https://en.wikipedia.org/wiki/Bal%C3%A1zs_L%C3%A1szl%C3%B3_Gy%C5%91rffy
Herbert H. Chen,1942.0,China,Particle physics,https://en.wikipedia.org/wiki/Herbert_H._Chen
Harold Scott MacDonald Coxeter,1907.0,England,Geometry,https://en.wikipedia.org/wiki/H._S._M._Coxeter
Arthur P. Dempster,1929.0,Born1929 (age 93–94),Statistics,https://en.wikipedia.org/wiki/Arthur_Pentland_Dempster
Steven J. Miller,1929.0,Born1929 (age 93–94),Mathematics,https://en.wikipedia.org/wiki/Steven_J._Miller
Georg Aumann,1906.0,Born11 November 1906 (1906-11-11)Munich,Real analysis,https://en.wikipedia.org/wiki/Georg_Aumann
Rana X. Adhikari,1974.0,U.S.,Real analysis,https://en.wikipedia.org/wiki/Rana_X._Adhikari
Jacob Volhard,1834.0,Grand Duchy of Hesse and by Rhine,Real analysis,https://en.wikipedia.org/wiki/Jacob_Volhard
Nikolai Luzin,1883.0,Russian Empire,Mathematician,https://en.wikipedia.org/wiki/Nikolai_Luzin
Roscoe G. Dickinson,1894.0,United States,Chemist,https://en.wikipedia.org/wiki/Roscoe_G._Dickinson
Jayant Narlikar,1938.0,India),"Physics, astronomy, writer",https://en.wikipedia.org/wiki/Jayant_Narlikar
Norman Matloff,1948.0,1948 (age 74),"Physics, astronomy, writer",https://en.wikipedia.org/wiki/Norman_Matloff
Johannes Bosscha,1831.0,Netherlands,Physics,https://en.wikipedia.org/wiki/Johannes_Bosscha
Ettie Rout,1877.0,Tasmania,Physics,https://en.wikipedia.org/wiki/Ettie_Rout
Ken Forbus,1877.0,Tasmania,Physics,https://en.wikipedia.org/wiki/Ken_Forbus
Milton S. Plesset,1908.0,Pennsylvania,Fluid dynamics,https://en.wikipedia.org/wiki/Milton_S._Plesset
Constantin Le Paige,1852.0,Belgium,Mathematics,https://en.wikipedia.org/wiki/Constantin_Le_Paige
Shreeram Shankar Abhyankar,1930.0,India,Mathematics,https://en.wikipedia.org/wiki/S._S._Abhyankar
Peter Johnstone (mathematician),1948.0,BornDecember 1948 (age 74),Mathematics,https://en.wikipedia.org/wiki/Peter_Johnstone_(mathematician)
Hans Bethe,1906.0,Germany,Nuclear physics,https://en.wikipedia.org/wiki/Hans_Bethe
Elon Lindenstrauss,1970.0,Israel,Mathematics,https://en.wikipedia.org/wiki/Elon_Lindenstrauss
Wilhelm Wien,1864.0,Province of Prussia,Physics,https://en.wikipedia.org/wiki/Wilhelm_Wien
Dror Bar-Natan,1966.0,1966 (age 57)Israel,Mathematics,https://en.wikipedia.org/wiki/Dror_Bar-Natan
Oscar Loew,1844.0,Bavaria,Mathematics,https://en.wikipedia.org/wiki/Oscar_Loew
Ludwig Bieberbach,1886.0,German Empire,Mathematics,https://en.wikipedia.org/wiki/Ludwig_Bieberbach
Malcolm Perry (physicist),1951.0,England,Theoretical physics,https://en.wikipedia.org/wiki/Malcolm_Perry_(physicist)
Georg Alexander Pick,1859.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Georg_Alexander_Pick
Charles M. Sommerfield,1859.0,Austria-Hungary,Theoretical physics,https://en.wikipedia.org/wiki/Charles_M._Sommerfield
Harvey Fletcher,1884.0,U.S.,Physics,https://en.wikipedia.org/wiki/Harvey_Fletcher
Barry Barish,1936.0,U.S.,Physics,https://en.wikipedia.org/wiki/Barry_Barish
Georgiy Shilov,1917.0,Russia,Mathematics,https://en.wikipedia.org/wiki/Georgiy_Shilov
Keith J. Laidler,1916.0,England,Physical chemist,https://en.wikipedia.org/wiki/Keith_J._Laidler
Sigurður Helgason (mathematician),1927.0,Iceland,Physical chemist,https://en.wikipedia.org/wiki/Sigurdur_Helgason_(mathematician)
Kenneth Kunen,1943.0,1943New York City,Mathematics,https://en.wikipedia.org/wiki/Kenneth_Kunen
Robert M. Solovay,1938.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Robert_Solovay
Václav Chvátal,1946.0,Born (1946-07-20) 20 July 1946 (age 77)Prague,Mathematics,https://en.wikipedia.org/wiki/V%C3%A1clav_Chv%C3%A1tal
Akiva Yaglom,1921.0,Ukrainian SSR,Probability theory,https://en.wikipedia.org/wiki/Akiva_Yaglom
Cleve Moler,1949.0,1949 (age 74),Mathematics,https://en.wikipedia.org/wiki/Cleve_Moler
Mina Aganagić,1949.0,1949 (age 74),Mathematical physics,https://en.wikipedia.org/wiki/Mina_Aganagic
Karl Bühler,1879.0,German Empire,Psychology,https://en.wikipedia.org/wiki/Karl_B%C3%BChler
Albert Shiryaev,1934.0,USSR,Mathematician,https://en.wikipedia.org/wiki/Albert_Shiryaev
Abram Ioffe,1880.0,Russian Empire (now Ukraine) [1],Physics,https://en.wikipedia.org/wiki/Abram_Ioffe
Henri Villat,1879.0,Born(1879-12-24)24 December 1879Paris,Mathematics,https://en.wikipedia.org/wiki/Henri_Villat
Max Brückner,1860.0,Kingdom of Saxony,Mathematics,https://en.wikipedia.org/wiki/Max_Br%C3%BCckner
Ludwig Mond,1839.0,Germany,Chemist,https://en.wikipedia.org/wiki/Ludwig_Mond
Hanns-Peter Boehm,1928.0,France,Chemist,https://en.wikipedia.org/wiki/Hanns-Peter_Boehm
Fritz Gassmann,1899.0,Born1899,Mathematics,https://en.wikipedia.org/wiki/Fritz_Gassmann
Luis Santaló,1911.0,Spain,Mathematics,https://en.wikipedia.org/wiki/Luis_Santal%C3%B3
Otto E. Neugebauer,1899.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Otto_Neugebauer
Ernst Peschl,1906.0,German Empire,complex analysis,https://en.wikipedia.org/wiki/Ernst_Peschl
Peter A. Carruthers,1935.0,U.S.,Physics,https://en.wikipedia.org/wiki/Peter_A._Carruthers
Eduard Grüneisen,1877.0,German Empire,Physics,https://en.wikipedia.org/wiki/Eduard_Gr%C3%BCneisen
Enno Dirksen,1788.0,Prussia,Physics,https://en.wikipedia.org/wiki/Enno_Dirksen
Eduardo Engel,1788.0,Prussia,Physics,https://en.wikipedia.org/wiki/Eduardo_Engel
Alexey Lyapunov,1911.0,Russian Empire,Mathematician,https://en.wikipedia.org/wiki/Alexey_Lyapunov
Robert Coleman Richardson,1937.0,U.S.,Physics,https://en.wikipedia.org/wiki/Robert_Coleman_Richardson
Robert Fricke,1861.0,Kingdom of Hanover,Mathematics,https://en.wikipedia.org/wiki/Robert_Fricke
Akinori Yonezawa,1947.0,Born1947 (1947)Japan,Mathematics,https://en.wikipedia.org/wiki/Akinori_Yonezawa
Umesh Vazirani,1947.0,Born1947 (1947)Japan,Quantum computation,https://en.wikipedia.org/wiki/Umesh_Vazirani
Carl Stumpf,1848.0,Germany,Quantum computation,https://en.wikipedia.org/wiki/Carl_Stumpf
Jim Simons (mathematician),1938.0,U.S.,Quantum computation,https://en.wikipedia.org/wiki/James_Simons
Cosmas Zachos,1951.0,Greece,Theoretical physics,https://en.wikipedia.org/wiki/Cosmas_Zachos
Michael Nauenberg,1934.0,Germany,theoretical physics,https://en.wikipedia.org/wiki/Michael_Nauenberg
Guy L. Steele Jr.,1954.0,United States,Computer science,https://en.wikipedia.org/wiki/Guy_L._Steele_Jr.
Adolph Göpel,1812.0,Germany,Computer science,https://en.wikipedia.org/wiki/Adolph_G%C3%B6pel
Leopold Infeld,1898.0,now Poland,Physics,https://en.wikipedia.org/wiki/Leopold_Infeld
H. Jay Melosh,1947.0,New Jersey,Geophysics,https://en.wikipedia.org/wiki/H._Jay_Melosh
Edmund M. Clarke,1945.0,U.S.,Computer science,https://en.wikipedia.org/wiki/Edmund_M._Clarke
J. J. Sakurai,1933.0,Japan,Physics,https://en.wikipedia.org/wiki/J._J._Sakurai
Georges Lemaître,1894.0,Belgium,Cosmology,https://en.wikipedia.org/wiki/Georges_Lema%C3%AEtre
Richard Bruce Paris,1946.0,UK,Mathematics,https://en.wikipedia.org/wiki/Richard_Bruce_Paris
J. A. Ratcliffe,1902.0,England,Radio physics,https://en.wikipedia.org/wiki/J._A._Ratcliffe
Max Perutz,1914.0,Austria-Hungary,Molecular biology,https://en.wikipedia.org/wiki/Max_Perutz
Irene Pepperberg,1949.0,New York,Molecular biology,https://en.wikipedia.org/wiki/Irene_Pepperberg
Leo Sario,1916.0,Finland[1],Mathematics,https://en.wikipedia.org/wiki/Leo_Sario
Berthold K.P. Horn,1943.0,German-occupied Czechoslovakia (now Czech Republic),Mathematics,https://en.wikipedia.org/wiki/Berthold_K.P._Horn
Saul Teukolsky,1947.0,1947 (age 76)Johannesburg,Astrophysics,https://en.wikipedia.org/wiki/Saul_Teukolsky
Sisir Kumar Mitra,1890.0,India),Radiophysics,https://en.wikipedia.org/wiki/Sisir_Kumar_Mitra
Athanasios Papoulis,1921.0,Born1921Turkey,Radiophysics,https://en.wikipedia.org/wiki/Athanasios_Papoulis
Michael C. Reed,1942.0,Born1942,Radiophysics,https://en.wikipedia.org/wiki/Michael_C._Reed
Johann Jakob Müller,1846.0,Switzerland,Physiologist,https://en.wikipedia.org/wiki/Johann_Jakob_M%C3%BCller
Phillip Griffiths,1938.0,US,Mathematics,https://en.wikipedia.org/wiki/Phillip_Griffiths
Walter Rogowski,1881.0,German Empire,Applied physics,https://en.wikipedia.org/wiki/Walter_Rogowski
Kip Thorne,1940.0,U.S.,Astrophysics,https://en.wikipedia.org/wiki/Kip_S._Thorne
John Cockcroft,1897.0,England,Physics,https://en.wikipedia.org/wiki/John_Cockcroft
Muhammad Suhail Zubairy,1952.0,Pakistan,Quantum Physics,https://en.wikipedia.org/wiki/Muhammad_Suhail_Zubairy
Robert W. Fuller,1936.0,Born1936 (age 86–87),Quantum Physics,https://en.wikipedia.org/wiki/Robert_W._Fuller
David Mumford,1937.0,England,Mathematics,https://en.wikipedia.org/wiki/David_Mumford
Oskar Piloty,1866.0,Kingdom of Bavaria,Mathematics,https://en.wikipedia.org/wiki/Oskar_Piloty
