Nome,Ano_Nasc,Pais,Campo_Principal,link
Joseph Larmor,1857.0,Ireland,Physics,https://en.wikipedia.org/wiki/Joseph_Larmor
Martin Davis (mathematician),1928.0,U.S.,Physics,https://en.wikipedia.org/wiki/Martin_Davis_(mathematician)
Alfred Kleiner,1849.0,Switzerland,Physicist,https://en.wikipedia.org/wiki/Alfred_Kleiner
David H. Frisch,1918.0,New York,Physics,https://en.wikipedia.org/wiki/David_H._Frisch
Daniel Bernoulli,1700.0,Dutch Republic,Mathematics,https://en.wikipedia.org/wiki/Daniel_Bernoulli
Paul Halmos,1916.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Paul_Halmos
Wilhelm Wirtinger,1865.0,Austrian Empire,Mathematics,https://en.wikipedia.org/wiki/Wilhelm_Wirtinger
August Ferdinand Möbius,1790.0,Electorate of Saxony (Germany),Mathematician,https://en.wikipedia.org/wiki/August_Ferdinand_M%C3%B6bius
Enrico Fermi,1901.0,Italy,Physics,https://en.wikipedia.org/wiki/Enrico_Fermi
Roland Weitzenböck,1885.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Roland_Weitzenb%C3%B6ck
Earle Raymond Hedrick,1876.0,US,Mathematics,https://en.wikipedia.org/wiki/Earle_Raymond_Hedrick
Walter M. Elsasser,1904.0,Germany,Physics,https://en.wikipedia.org/wiki/Walter_Elsasser
Nicholas Rescher,1928.0,Germany,Physics,https://en.wikipedia.org/wiki/Nicholas_Rescher
Ernest Sosa,1940.0,Cuba,Physics,https://en.wikipedia.org/wiki/Ernest_Sosa
Kurt Gödel,1906.0,Czech Republic),Mathematics,https://en.wikipedia.org/wiki/Kurt_G%C3%B6del
Paul Lévy (mathematician),1886.0,France,Mathematics,https://en.wikipedia.org/wiki/Paul_L%C3%A9vy_(mathematician)
Stephen Hawking,1942.0,England,General relativity,https://en.wikipedia.org/wiki/Stephen_W._Hawking
Pascual Jordan,1902.0,German Empire,Theoretical physics,https://en.wikipedia.org/wiki/Pascual_Jordan
Bernard Galler,1928.0,USA,Theoretical physics,https://en.wikipedia.org/wiki/Bernard_Galler
Peter Lax,1926.0,Kingdom of Hungary,Mathematics,https://en.wikipedia.org/wiki/Peter_Lax
József Kürschák,1864.0,Kingdom of Hungary,Mathematics,https://en.wikipedia.org/wiki/J%C3%B3zsef_K%C3%BCrsch%C3%A1k
Alan Yuille,1955.0,UK,Computer Vision,https://en.wikipedia.org/wiki/Alan_Yuille
Max Delbrück,1906.0,German Empire,Biophysics,https://en.wikipedia.org/wiki/Max_Delbr%C3%BCck
Nicholas Georgescu-Roegen,1906.0,Romania,"Economics, mathematics, statistics",https://en.wikipedia.org/wiki/Nicholas_Georgescu-Roegen
Chung Kai-lai,1917.0,China,Mathematics,https://en.wikipedia.org/wiki/Kai_Lai_Chung
Sheila Tinney,1918.0,Ireland,Mathematics,https://en.wikipedia.org/wiki/Sheila_Tinney
Raymond Smullyan,1919.0,U.S.,Logic,https://en.wikipedia.org/wiki/Raymond_Smullyan
John A. Hartigan,1937.0,Australia,Logic,https://en.wikipedia.org/wiki/John_A._Hartigan
Gustav von Escherich,1849.0,Austrian Empire,Mathematics,https://en.wikipedia.org/wiki/Gustav_Ritter_von_Escherich
